position,item,number_0,number_1,number_2,number_3
车辆骨架或事故,左前纵梁,0,35.0,0.0,0.0
车辆骨架或事故,右前纵梁,0,35.0,0.0,0.0
车辆骨架或事故,左前减震器座,0,35.0,0.0,0.0
车辆骨架或事故,右前减震器座,0,35.0,0.0,0.0
车辆骨架或事故,防火墙,0,20.0,0.0,0.0
车辆骨架或事故,左A柱,0,35.0,0.0,0.0
车辆骨架或事故,左B柱,0,35.0,0.0,0.0
车辆骨架或事故,左C柱,0,35.0,0.0,0.0
车辆骨架或事故,右B柱,0,35.0,0.0,0.0
车辆骨架或事故,右C柱,0,35.0,0.0,0.0
车辆骨架或事故,右A柱,0,35.0,0.0,0.0
车辆骨架或事故,左后纵梁,0,35.0,0.0,0.0
车辆骨架或事故,右后纵梁,0,35.0,0.0,0.0
车辆骨架或事故,右后减震器座,0,35.0,0.0,0.0
车辆骨架或事故,左后减震器座,0,35.0,0.0,0.0
车辆骨架或事故,火烧情况,0,25.0,35.0,0.0
车辆骨架或事故,泡水情况,0,25.0,35.0,0.0
外观,前保险杠,0,0.5,1.5,2.0
外观,机盖,0,1.5,2.5,3.0
外观,左前叶子板,0,1.25,2.0,3.0
外观,左前轮胎,0,1.5,0.0,2.5
外观,左前轮毂,0,2.0,0.0,3.0
外观,前挡风玻璃,0,1.5,3.5,3.5
外观,左前门,0,1.5,3.0,3.5
外观,左后门,0,1.5,2.5,3.5
外观,左后叶子板,0,1.25,5.0,7.5
外观,左后轮胎,0,1.5,0.0,2.5
外观,左后轮毂,0,2.0,0.0,3.0
外观,左后大灯,0,2.0,2.0,3.0
外观,右后大灯,0,2.0,2.0,3.0
外观,后保险杠,0,0.5,1.5,2.0
外观,右后轮胎,0,1.5,0.0,2.5
外观,右后轮毂,0,2.0,0.0,3.0
外观,右后叶子板,0,1.25,5.0,7.5
外观,右后门,0,1.5,3.0,3.5
外观,右前门,0,1.5,3.0,3.5
外观,右前叶子板,0,1.25,2.0,3.0
外观,右前轮胎,0,1.5,0.0,2.5
外观,右前轮毂,0,2.0,0.0,3.0
外观,左侧下边梁,0,1.5,2.0,2.5
外观,右侧下边梁,0,1.5,2.0,2.5
外观,车顶,0,2.0,0.0,2.5
外观,右前大灯,0,2.5,2.5,3.5
外观,左前大灯,0,2.5,2.5,3.5
内饰,中控台,0,5.0,0.0,0.0
内饰,仪表盘,0,5.0,0.0,0.0
内饰,主驾驶座椅,0,5.0,8.0,0.0
内饰,副驾驶座椅,0,7.0,10.0,0.0
内饰,后排座椅,0,7.0,10.0,0.0
内饰,车辆顶棚,0,8.0,12.0,0.0
内饰,换挡杆区域,0,7.0,10.0,0.0
内饰,车辆娱乐设备,0,5.0,7.0,0.0
内饰,方向盘,0,8.0,12.0,0.0
内饰,空调,0,5.0,8.0,0.0
车辆加强件,右前翼子板内衬,0,5.0,8.0,0.0
车辆加强件,左前翼子板内衬,0,5.0,8.0,0.0
车辆加强件,右后翼子板内衬,0,5.0,8.0,0.0
车辆加强件,左后翼子板内衬,0,5.0,8.0,0.0
车辆加强件,前防撞梁,0,5.0,7.0,0.0
车辆加强件,后防撞梁,0,5.0,7.0,0.0
车辆加强件,备胎槽,0,5.0,10.0,2.5
车辆加强件,水箱框架,0,5.0,7.0,0.0
机械结构,发动机,0,8.0,10.0,15.0
机械结构,发动机状况,0,12.0,15.0,20.0
机械结构,变速箱,0,8.0,10.0,15.0
机械结构,变速箱状况,0,12.0,15.0,20.0
机械结构,转向系统,0,7.0,12.0,0.0
机械结构,离合器系统,0,5.0,8.0,0.0
机械结构,刹车系统,0,7.0,8.0,0.0
机械结构,发动机是否烧机油,0,10.0,15.0,0.0
